DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF66C,Luminaria,5C-CF-7F-0A-F6-6C,L443,-29.68927686,-51.13845648,Grupo 1,0,HDA-01
000AF43A,Luminaria,5C-CF-7F-0A-F4-3A,L454,-29.67803822,-51.15274625,Grupo 1,0,HDA-01
0006E3BE,Luminaria,5C-CF-7F-06-E3-BE,L406,-29.6715306,-51.08775745,Grupo 1,0,HDA-01
0006E495,Luminaria,5C-CF-7F-06-E4-95,L476,-29.6898466,-51.10406442,Grupo 1,0,HDA-01
000AF620,Luminaria,5C-CF-7F-0A-F6-20,L471,-29.68200416,-51.15123117,Grupo 1,0,HDA-01
0006E6CE,Luminaria,5C-CF-7F-06-E6-CE,L531,-29.68300496,-51.09287015,Grupo 1,0,HDA-01
0006E41C,Luminaria,5C-CF-7F-06-E4-1C,L526,-29.67367318,-51.15469149,Grupo 1,0,HDA-01
0006E5B7,Luminaria,5C-CF-7F-06-E5-B7,L456,-29.67141164,-51.12185782,Grupo 1,0,HDA-01
0006E745,Luminaria,5C-CF-7F-06-E7-45,L487,-29.68088586,-51.10846141,Grupo 1,0,HDA-01
0006E523,Luminaria,5C-CF-7F-06-E5-23,L411,-29.6956675,-51.10260309,Grupo 1,0,HDA-01
0006E6EE,Luminaria,5C-CF-7F-06-E6-EE,L502,-29.67377607,-51.1380172,Grupo 1,0,HDA-01
0006E72F,Luminaria,5C-CF-7F-06-E7-2F,L431,-29.67850836,-51.11715597,Grupo 1,0,HDA-01
000AF69C,Luminaria,5C-CF-7F-0A-F6-9C,L448,-29.69305895,-51.14066967,Grupo 1,0,HDA-01
0006E3DF,Luminaria,5C-CF-7F-06-E3-DF,L481,-29.66721474,-51.10711479,Grupo 1,0,HDA-01
000AF66F,Luminaria,5C-CF-7F-0A-F6-6F,L516,-29.67622136,-51.0762832,Grupo 1,0,HDA-01
000AF44A,Luminaria,5C-CF-7F-0A-F4-4A,L511,-29.6695661,-51.14011551,Grupo 1,0,HDA-01
0006E5D7,Luminaria,5C-CF-7F-06-E5-D7,L530,-29.68501559,-51.13854286,Grupo 1,0,HDA-01
0006E587,Luminaria,5C-CF-7F-06-E5-87,L521,-29.68346459,-51.12835309,Grupo 1,0,HDA-01
0006E3B8,Luminaria,5C-CF-7F-06-E3-B8,L506,-29.68862013,-51.13239122,Grupo 1,0,HDA-01
0006E696,Luminaria,5C-CF-7F-06-E6-96,L529,-29.67691464,-51.14499853,Grupo 1,0,HDA-01
000AF494,Luminaria,5C-CF-7F-0A-F4-94,L532,-29.68338804,-51.07786254,Grupo 1,0,HDA-01
0006E5DC,Luminaria,5C-CF-7F-06-E5-DC,L533,-29.68516946,-51.12534948,Grupo 1,0,HDA-01
0006E579,Luminaria,5C-CF-7F-06-E5-79,L534,-29.68063378,-51.08780412,Grupo 1,0,HDA-01
0006E33A,Luminaria,5C-CF-7F-06-E3-3A,L535,-29.68616265,-51.10711879,Grupo 1,0,HDA-01
0006E576,Luminaria,5C-CF-7F-06-E5-76,L536,-29.67515021,-51.08737583,Grupo 1,0,HDA-01
0006E700,Luminaria,5C-CF-7F-06-E7-00,L537,-29.68498248,-51.07829445,Grupo 1,0,HDA-01
0006E633,Luminaria,5C-CF-7F-06-E6-33,L538,-29.67159529,-51.11583219,Grupo 1,0,HDA-01
